team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Argentina,8.57,6.97,100.0,0.0,0.0,100.0
Mexico,8.09,4.03,100.0,0.0,0.0,100.0
France,7.79,5.61,75.6,24.4,0.0,100.0
United States,7.61,5.35,100.0,0.0,0.0,100.0
Germany,7.53,7.23,100.0,0.0,0.0,100.0
Colombia,7.31,2.92,62.3,37.7,0.0,100.0
Norway,6.97,3.39,24.4,75.6,0.0,100.0
England,6.38,3.54,77.2,22.7,0.1,100.0
Morocco,6.34,2.43,30.2,68.7,1.2,100.0
Netherlands,6.27,5.35,60.6,38.9,0.5,100.0
Brazil,6.13,4.12,65.8,21.1,13.1,100.0
Japan,5.94,4.8,33.1,47.6,19.3,100.0
Spain,5.94,4.8,81.6,12.6,5.8,100.0
Portugal,5.41,5.08,37.7,62.2,0.2,100.0
Canada,5.4,6.08,66.1,33.9,0.0,100.0
Switzerland,5.31,2.92,33.9,66.1,0.0,100.0
Ivory Coast,5.3,1.38,0.0,89.5,6.3,95.8
Egypt,5.14,1.73,49.4,20.5,30.2,100.0
Croatia,5.09,0.02,16.7,45.0,35.5,97.2
South Korea,4.9,0.73,0.0,81.2,13.5,94.7
Ghana,4.67,-0.02,6.1,32.4,61.5,100.0
Australia,4.49,0.19,0.0,70.3,24.9,95.3
Austria,4.42,0.06,0.0,66.0,28.9,94.9
Belgium,4.34,1.48,26.1,53.1,11.3,90.6
Algeria,4.3,-2.06,0.0,34.0,49.5,83.5
Paraguay,4.2,-2.19,0.0,29.7,54.8,84.4
Sweden,3.83,-0.8,6.3,13.6,73.9,93.8
Scotland,3.65,-1.12,4.1,10.2,71.8,86.1
Iran,3.56,0.27,24.5,20.8,29.6,75.0
Cape Verde,3.27,-0.1,2.6,49.2,11.6,63.4
Uruguay,2.8,-0.8,15.7,7.9,23.5,47.2
Bosnia and Herzegovina,2.62,-2.64,0.0,0.0,45.1,45.1
Saudi Arabia,2.42,-3.9,0.0,30.3,7.0,37.3
DR Congo,2.3,-1.04,0.0,0.2,35.0,35.1
Ecuador,2.18,-1.23,0.0,3.1,27.8,30.9
Qatar,2.1,-6.36,0.0,0.0,27.6,27.7
Senegal,1.94,-2.23,0.0,0.0,49.4,49.4
South Africa,1.83,-2.73,0.0,16.4,2.4,18.8
Czech Republic,1.68,-2.03,0.0,2.3,14.3,16.6
Curaçao,1.51,-7.38,0.0,7.4,3.1,10.5
New Zealand,1.47,-3.48,0.0,5.6,3.9,9.5
Uzbekistan,1.37,-6.96,0.0,0.0,9.8,9.8
Turkey,1.12,-3.35,0.0,0.0,0.0,0.0
Iraq,0.8,-6.77,0.0,0.0,7.4,7.4
Tunisia,0.53,-9.35,0.0,0.0,0.0,0.0
Haiti,0.46,-5.43,0.0,0.0,0.0,0.0
Panama,0.44,-3.54,0.0,0.0,0.0,0.0
Jordan,0.29,-4.97,0.0,0.0,0.0,0.0
