Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Argentina,99.61,73.04,56.92,41.97,10.100000000000001,27.91,18.33
Spain,93.73,63.349999999999994,46.08,34.42,7.870000000000001,22.919999999999998,14.23
England,99.51,72.91,47.370000000000005,29.57,8.540000000000001,16.54,9.85
Brazil,96.04,64.64,43.730000000000004,27.150000000000002,7.779999999999999,14.940000000000001,8.469999999999999
France,98.83,70.71,45.28,28.1,7.17,15.83,8.38
Colombia,98.1,68.51,42.0,21.42,5.52,11.200000000000001,5.84
Portugal,81.81,54.779999999999994,31.830000000000002,18.2,4.2700000000000005,10.36,5.17
Germany,99.51,62.82,32.61,17.69,4.71,8.559999999999999,4.04
Morocco,91.0,51.980000000000004,30.680000000000003,14.540000000000001,3.34,7.199999999999999,2.77
Belgium,88.22,57.65,31.180000000000003,14.44,3.63,7.000000000000001,2.71
Netherlands,88.52,45.58,27.060000000000002,13.0,3.4299999999999997,6.03,2.12
Mexico,99.02,63.57000000000001,30.39,13.83,3.6900000000000004,5.4,2.1
Japan,86.38,40.89,22.53,10.61,3.2199999999999998,4.46,2.03
Uruguay,76.53999999999999,32.129999999999995,16.89,8.790000000000001,2.22,3.94,1.6500000000000001
United States,95.94,57.720000000000006,26.619999999999997,10.5,2.74,4.26,1.58
Norway,97.13000000000001,52.51,23.849999999999998,10.57,2.91,4.18,1.46
Ecuador,77.86999999999999,39.83,18.96,8.110000000000001,2.1,3.44,1.39
Australia,94.63000000000001,52.790000000000006,21.14,8.32,2.06,3.2099999999999995,1.13
Switzerland,81.87,45.6,19.689999999999998,7.26,1.76,2.76,1.0999999999999999
Croatia,77.08,36.89,15.82,7.630000000000001,1.46,3.2300000000000004,1.03
Austria,92.86999999999999,35.42,15.75,6.550000000000001,1.4500000000000002,2.39,0.76
Iran,66.18,33.489999999999995,12.55,4.75,0.9199999999999999,1.81,0.59
South Korea,94.27,49.919999999999995,19.1,6.5600000000000005,1.59,2.08,0.52
Canada,87.55,46.68,19.45,5.62,1.24,1.52,0.45999999999999996
Senegal,56.989999999999995,26.13,10.18,3.53,0.8200000000000001,1.23,0.33999999999999997
Ivory Coast,95.61,38.86,12.509999999999998,4.72,1.31,1.37,0.32
Turkey,42.199999999999996,18.04,6.660000000000001,2.64,0.7000000000000001,0.83,0.31
Scotland,83.53,29.32,11.15,3.65,0.66,1.1199999999999999,0.27999999999999997
Algeria,53.21,19.53,8.38,2.86,0.54,1.01,0.27999999999999997
Egypt,70.57,28.470000000000002,8.870000000000001,2.18,0.4,0.72,0.19
Sweden,94.87,30.56,11.709999999999999,3.2099999999999995,0.6799999999999999,0.75,0.18
Paraguay,35.25,14.330000000000002,4.79,1.6,0.33,0.4,0.1
DR Congo,47.97,14.01,3.8600000000000003,1.1400000000000001,0.1,0.31,0.09
Czech Republic,45.75,18.0,6.3,1.39,0.24,0.38,0.06
Uzbekistan,31.94,10.16,2.71,0.88,0.13999999999999999,0.27999999999999997,0.06
Saudi Arabia,47.8,8.540000000000001,1.9900000000000002,0.5,0.09,0.06,0.03
Ghana,68.78999999999999,13.850000000000001,2.82,0.47000000000000003,0.06,0.11,0.03
Jordan,12.120000000000001,2.96,0.77,0.13999999999999999,0.01,0.06999999999999999,0.02
Tunisia,11.62,2.75,0.67,0.16,0.06,0.03,0.0
Qatar,39.01,6.619999999999999,0.8200000000000001,0.06,0.01,0.0,0.0
Iraq,11.37,2.59,0.48,0.05,0.01,0.0,0.0
South Africa,25.650000000000002,7.470000000000001,1.6400000000000001,0.3,0.04,0.02,0.0
Curaçao,4.9399999999999995,0.5,0.03,0.0,0.0,0.0,0.0
Haiti,5.63,0.9199999999999999,0.12,0.03,0.0,0.0,0.0
Cape Verde,44.4,6.25,1.21,0.24,0.02,0.01,0.0
New Zealand,35.66,8.48,1.27,0.16999999999999998,0.02,0.06,0.0
Panama,14.899999999999999,3.37,0.84,0.15,0.01,0.05,0.0
Bosnia and Herzegovina,58.01,14.879999999999999,2.74,0.33,0.03,0.02,0.0
