Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.3,70.15,50.77,38.79,8.15,27.16,17.64
Argentina,96.12,64.83,49.220000000000006,35.589999999999996,8.27,23.57,15.14
Brazil,96.27,66.5,45.68,29.49,7.9799999999999995,16.48,9.2
England,96.36,66.7,41.760000000000005,25.77,6.47,15.120000000000001,8.540000000000001
France,92.21000000000001,64.64999999999999,40.72,25.6,7.42,13.600000000000001,7.51
Portugal,89.83,60.160000000000004,35.67,20.13,5.35,10.84,5.680000000000001
Colombia,88.32,57.440000000000005,32.86,18.08,4.859999999999999,9.379999999999999,4.859999999999999
Germany,95.81,61.33,32.690000000000005,17.64,4.52,8.790000000000001,3.52
Morocco,88.92,50.3,30.330000000000002,15.509999999999998,4.14,7.32,3.4799999999999995
Netherlands,88.49000000000001,45.11,28.22,14.530000000000001,4.06,6.800000000000001,3.04
Belgium,91.52,58.84,32.28,14.09,3.6999999999999997,6.4799999999999995,2.73
Ecuador,91.14999999999999,52.739999999999995,25.619999999999997,13.01,3.26,6.16,2.6
Uruguay,89.19,40.96,22.7,11.83,3.05,5.57,2.17
Japan,82.76,40.19,23.1,10.59,2.78,4.68,1.8900000000000001
Mexico,94.14,60.06,28.67,11.99,3.25,4.5,1.6099999999999999
Switzerland,94.24,56.48,25.19,10.79,2.74,4.49,1.59
Croatia,87.13,44.48,19.31,8.82,2.3,3.73,1.32
Norway,75.63,38.690000000000005,17.150000000000002,7.3999999999999995,1.83,2.68,0.91
Iran,81.39999999999999,43.059999999999995,17.77,6.43,1.6,2.34,0.8
United States,70.16,36.980000000000004,15.98,6.1,1.44,2.25,0.65
Turkey,70.25,37.51,16.38,5.96,1.52,2.19,0.64
Senegal,70.93,34.93,14.97,6.0,1.43,2.12,0.64
Australia,68.93,35.08,14.48,5.16,1.11,2.04,0.63
Canada,94.67999999999999,53.949999999999996,22.720000000000002,6.88,1.77,2.03,0.52
Paraguay,65.29,31.730000000000004,12.09,4.24,1.01,1.4500000000000002,0.49
South Korea,75.89,37.24,14.42,4.61,1.08,1.41,0.44
Algeria,68.08,23.73,10.17,4.04,0.86,1.4200000000000002,0.37
Austria,67.21000000000001,24.26,10.459999999999999,3.7699999999999996,0.86,1.3,0.35000000000000003
Egypt,66.07,26.36,8.66,2.36,0.5499999999999999,0.72,0.2
Ivory Coast,74.11999999999999,28.599999999999998,9.6,2.79,0.7000000000000001,0.58,0.16
Czech Republic,62.49,24.62,7.88,2.01,0.31,0.47000000000000003,0.15
Scotland,62.57,21.82,7.84,2.35,0.36,0.5,0.12
Sweden,49.97,14.829999999999998,4.93,1.22,0.22999999999999998,0.38,0.09
Tunisia,47.73,13.71,4.44,1.25,0.27999999999999997,0.29,0.08
Uzbekistan,51.35999999999999,17.77,5.42,1.58,0.33999999999999997,0.45999999999999996,0.06999999999999999
DR Congo,35.28,10.03,2.1999999999999997,0.53,0.06999999999999999,0.15,0.05
Panama,49.8,13.01,3.15,0.77,0.06999999999999999,0.19,0.04
Jordan,34.58,8.36,2.19,0.4,0.05,0.08,0.03
Iraq,29.849999999999998,7.9,1.81,0.36,0.05,0.06999999999999999,0.02
Haiti,19.07,3.2099999999999995,0.53,0.09,0.01,0.01,0.01
South Africa,35.68,10.100000000000001,2.33,0.36,0.06,0.06999999999999999,0.01
Ghana,29.360000000000003,5.6899999999999995,1.13,0.18,0.03,0.03,0.01
Curaçao,11.63,1.1400000000000001,0.1,0.0,0.0,0.0,0.0
New Zealand,30.09,6.84,1.13,0.13999999999999999,0.03,0.03,0.0
Qatar,27.32,4.49,0.65,0.09,0.01,0.02,0.0
Bosnia and Herzegovina,47.38,11.55,2.07,0.27,0.02,0.02,0.0
Cape Verde,30.18,4.8500000000000005,1.02,0.16,0.02,0.0,0.0
Saudi Arabia,36.26,7.04,1.54,0.25,0.0,0.03,0.0
