match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,extra_time,penalties,winner_name_meta
36,Group E,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Ecuador,Curaçao,2,1,8,3,0,False,False,Ecuador
37,Group H,"Mercedes-Benz Stadium, Atlanta",United States,Spain,Saudi Arabia,2,1,10,4,0,False,False,Spain
38,Group G,"SoFi Stadium, Los Angeles",United States,Belgium,Iran,1,1,10,4,0,False,False,Draw
39,Group H,"Hard Rock Stadium, Miami",United States,Uruguay,Cape Verde,2,1,8,3,0,False,False,Uruguay
40,Group G,"BC Place, Vancouver",Canada,New Zealand,Egypt,1,1,8,2,0,False,False,Draw
41,Group J,"AT&T Stadium, Dallas",United States,Argentina,Austria,2,1,10,4,0,False,False,Argentina
42,Group I,"Lincoln Financial Field, Philadelphia",United States,France,Iraq,2,1,9,3,0,False,False,France
43,Group I,"MetLife Stadium, East Rutherford",United States,Norway,Senegal,1,1,9,4,0,False,False,Draw
44,Group J,"Levi's Stadium, Santa Clara",United States,Jordan,Algeria,1,2,9,3,0,False,False,Algeria
45,Group K,"NRG Stadium, Houston",United States,Portugal,Uzbekistan,2,1,10,4,0,False,False,Portugal
46,Group L,"Gillette Stadium, Boston",United States,England,Ghana,2,1,9,4,0,False,False,England
47,Group L,"BMO Field, Toronto",Canada,Panama,Croatia,1,2,9,3,0,False,False,Croatia
48,Group K,"Estadio Akron, Guadalajara",Mexico,Colombia,DR Congo,2,1,9,3,0,False,False,Colombia
49,Group B,"BC Place, Vancouver",Canada,Switzerland,Canada,1,1,9,3,0,False,False,Draw
50,Group B,"Lumen Field, Seattle",United States,Bosnia and Herzegovina,Qatar,2,1,8,3,0,False,False,Bosnia and Herzegovina
51,Group C,"Hard Rock Stadium, Miami",United States,Scotland,Brazil,1,2,10,4,0,False,False,Brazil
52,Group C,"Mercedes-Benz Stadium, Atlanta",United States,Morocco,Haiti,2,1,8,3,0,False,False,Morocco
53,Group A,"Estadio Azteca, Mexico City",Mexico,Czech Republic,Mexico,1,2,9,3,0,False,False,Mexico
54,Group A,"Estadio BBVA, Monterrey",Mexico,South Africa,South Korea,1,2,8,3,0,False,False,South Korea
55,Group E,"Lincoln Financial Field, Philadelphia",United States,Curaçao,Ivory Coast,1,2,8,2,0,False,False,Ivory Coast
56,Group E,"MetLife Stadium, East Rutherford",United States,Ecuador,Germany,1,1,10,4,0,False,False,Draw
