team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Argentina,8.57,6.97,100.0,0.0,0.0,100.0
Mexico,8.11,4.05,100.0,0.0,0.0,100.0
France,7.74,5.53,73.8,26.2,0.0,100.0
United States,7.6,5.33,100.0,0.0,0.0,100.0
Germany,7.57,7.28,100.0,0.0,0.0,100.0
Colombia,7.35,3.01,64.0,36.0,0.0,100.0
Norway,7.02,3.47,26.2,73.8,0.0,100.0
England,6.38,3.54,77.8,22.1,0.1,100.0
Morocco,6.34,2.43,30.7,67.9,1.4,100.0
Netherlands,6.27,5.31,60.3,39.2,0.4,100.0
Brazil,6.11,4.07,65.3,21.8,13.0,100.0
Spain,5.98,4.83,82.8,11.5,5.7,100.0
Japan,5.96,4.84,33.9,47.0,19.1,100.0
Canada,5.39,6.06,65.1,34.8,0.0,100.0
Portugal,5.37,4.99,36.0,63.9,0.1,100.0
Switzerland,5.33,2.94,34.9,65.1,0.0,100.0
Ivory Coast,5.27,1.34,0.0,88.9,6.8,95.7
Egypt,5.11,1.68,47.7,20.5,31.8,100.0
Croatia,5.06,-0.03,16.0,44.5,36.7,97.2
South Korea,4.91,0.73,0.0,81.7,13.2,95.0
Ghana,4.7,0.03,6.1,33.5,60.3,100.0
Australia,4.49,0.18,0.0,69.5,25.8,95.3
Austria,4.37,0.01,0.0,64.8,30.2,95.0
Belgium,4.36,1.5,27.3,52.1,11.4,90.8
Algeria,4.34,-2.01,0.0,35.2,49.7,84.9
Paraguay,4.21,-2.18,0.0,30.5,54.2,84.7
Sweden,3.81,-0.84,5.7,13.8,74.1,93.6
Scotland,3.66,-1.07,4.1,10.3,71.5,85.9
Iran,3.6,0.32,25.0,22.2,28.3,75.6
Cape Verde,3.29,-0.06,2.5,50.7,10.8,64.1
Uruguay,2.77,-0.83,14.7,7.3,24.3,46.2
Bosnia and Herzegovina,2.62,-2.65,0.0,0.0,45.2,45.3
Saudi Arabia,2.4,-3.94,0.0,30.4,6.3,36.7
DR Congo,2.29,-1.07,0.0,0.1,34.7,34.8
Ecuador,2.14,-1.28,0.0,3.2,26.1,29.3
Qatar,2.11,-6.35,0.0,0.0,28.0,28.0
Senegal,1.91,-2.26,0.0,0.0,48.9,48.9
South Africa,1.82,-2.73,0.0,15.9,2.5,18.4
Czech Republic,1.66,-2.05,0.0,2.4,13.8,16.2
Curaçao,1.53,-7.34,0.0,7.9,3.2,11.1
New Zealand,1.46,-3.5,0.0,5.1,4.0,9.2
Uzbekistan,1.39,-6.93,0.0,0.0,10.6,10.6
Turkey,1.14,-3.33,0.0,0.0,0.0,0.0
Iraq,0.83,-6.74,0.0,0.0,7.8,7.8
Tunisia,0.53,-9.31,0.0,0.0,0.0,0.0
Haiti,0.47,-5.43,0.0,0.0,0.0,0.0
Panama,0.44,-3.54,0.0,0.0,0.0,0.0
Jordan,0.29,-4.97,0.0,0.0,0.0,0.0
